교양교과목 편성 현황(2025학년도 1학기 기준),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2025학년도 교육과정(입학자),,,,,,
연번,대학명(부서명),편성신청학과(부서명),교과목코드,교과목명,편성학기,편성신청학과(부서명),학점구조,평가방법,원격강의,SW지정,이수구분,교육과정구분,교양영역구분,핵심역량,"2011~2016학년도
교육과정(입학자)","2017~2020학년도
교육과정(입학자)","2021~2024학년도
교육과정(입학자)",비고
237,본부소속,국제학부,2000852,세계의문화,2015-1,국제학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,소양교양선택,
238,본부소속,국제학부,2000854,미국의역사,2012-2,국제학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,핵심교양-본부소속,일반교양,소양교양선택,
239,본부소속,교양학부,0001286,일어,2006-1,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
240,본부소속,교양학부,2006841,기초일본어문화,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역,일반교양,소양교양선택,
241,본부소속,교양학부,2009106,미디어시대의비판적리터러시,2021-1,교양학부,3-3-0,,,,교양선택,기초교양,"기초학문(사범대학, 천안공과대학, 산업과학대학, 예술대학)",가치탐구역량,2016인문사회과학영역,학문기초교양,기초교양선택(모든 단과대) ,
242,본부소속,교양학부,2006876,한반도평화와쟁점,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
243,본부소속,교양학부,2002907,북한의이해,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
244,본부소속,교양학부,2006875,다문화의이해,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016문화및예체능영역,핵심교양,균형교양 제6영역,
245,본부소속,교양학부,2006874,여성학개론,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016문화및예체능영역,핵심교양,균형교양 제6영역,
246,본부소속,교양학부,0001213,사회학,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
247,본부소속,교양학부,0000131,논리와비판적사고,2006-1,교양학부,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,기초교양선택(모든 단과대) ,
248,본부소속,교양학부,2006890,학문목적한국어(발표와토론),2021-1,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역(외국인),일반교양,소양교양선택,외국인학생대상 교과목
249,본부소속,교양학부,2006891,학문목적한국어(읽기와쓰기),2021-1,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),의사소통역량,2016외국어영역(외국인),일반교양,소양교양선택,외국인학생대상 교과목
250,본부소속,교양학부,2005841,스트레스의과학과웰빙의삶,2020-2,교양학부,3-3-0,,,,교양선택,균형교양,C(외국어예술건강진로),자기계발역량,2016인문사회과학영역,핵심교양,균형교양 제3영역,
251,본부소속,교양학부,2005842,설득커뮤니케이션의심리학,2020-2,교양학부,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
252,본부소속,교양학부,2005843,대인관계와정신건강,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
253,본부소속,교양학부,2005838,문학과감정의철학,2020-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
254,본부소속,교양학부,2005839,4차산업혁명시대의윤리,2020-2,교양학부,3-3-0,,Y,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제6영역,
255,본부소속,교양학부,2005845,세계문화유산의이해,2020-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
256,본부소속,교양학부,2005846,20세기세계사,2020-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
257,본부소속,교양학부,2007027,쟁점한국사,2022-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
258,본부소속,교양학부,2007028,동아시아의역사와문화,2022-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016문화및예체능영역,핵심교양,균형교양 제4영역,
259,본부소속,교양학부,2006850,생명과탄소,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
260,본부소속,교양학부,2006851,인간과자연,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
261,본부소속,교양학부,2006897,우주·생명·문명,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
262,본부소속,교양학부,2006898,생노병사의비밀,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제2영역,
263,본부소속,교양학부,2006899,자연환경과문명,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,2016자연과학영역,핵심교양,균형교양 제2영역,
264,본부소속,교양학부,2006853,서양철학의이해,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
265,본부소속,교양학부,2006854,사회정의의철학적기초,2021-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
266,본부소속,교양학부,2006855,언어논리의이해,2021-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
267,본부소속,교양학부,2006857,현대사회의철학적이해,2023-2,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),공동체역량,2016인문사회과학영역,핵심교양,균형교양 제5영역,
268,본부소속,교양학부,2006864,이상행동과이상심리의이해,2022-1,교양학부,3-3-0,,,,교양선택,균형교양,A(인간사회문학역사),가치탐구역량,2016인문사회과학영역,핵심교양,균형교양 제1영역,
269,본부소속,교양학부,2006964,공주학,2021-2,교양학부,3-3-0,S/U,,,교양선택,균형교양,A(인간사회문학역사),자기계발역량,2016인문사회과학영역,일반교양,소양교양선택,
270,본부소속,교양학부,2009105,일반통계학,2017-1,교양학부,3-3-0,,,,교양선택,기초교양,기초학문(산업과학대학),자기계발역량,핵심교양-산과대,학문기초교양,기초교양선택(산업과학대학),
271,본부소속,교양학부,2000336,생명과학,2012-1,교양학부,3-3-0,,,,교양선택,기초교양,기초학문(산업과학대학),가치탐구역량,핵심교양-산과대,학문기초교양,기초교양선택(산업과학대학),
272,본부소속,교양학부,1001037,기초수학,2011-1,교양학부,3-3-0,S/U,,,교양선택,기초교양,"기초학문(사범대학, 천안공과대학, 산업과학대학, 예술대학)",자기계발역량,2016자연과학영역,일반교양,기초교양선택(모든 단과대) ,
273,본부소속,교양학부,2000342,선형대수학,2012-1,교양학부,3-3-0,,,,교양선택,균형교양,B(자연생명과학기술),자기계발역량,핵심교양-산과대,핵심교양,기초교양선택(산업과학대학),
274,본부소속,교양학부,2002769,문명과수학,2016-1,교양학부,3-3-0,,Y,,교양선택,균형교양,B(자연생명과학기술),가치탐구역량,핵심교양-산과대,핵심교양,균형교양 제3영역,
275,본부소속,교양학부,2000341,미적분학,2012-1,교양학부,3-3-0,,,,교양선택,기초교양,"기초학문(산업과학대학, 천안공과대학, 인공지능학부)",자기계발역량,2016자연과학영역,핵심교양,기초교양선택(산업과학대학 및 인공지능학부) ,
